idiom	english_keywords	dutch_keywords	sub_clause
once in a while	while	{'even', 'tijdje', 'poosje', 'tijd'}	that said " I will play it once in a while "
do the right thing	thing	{'zaak', 'ding'}	that said " Just do the right thing  "
out of your mind	mind	{'verstand', 'probleem', 'beetje', 'idee', 'brein', 'geest', 'gedachte'}	that said " Have you gone out of your mind "
state of the art	state	{'status', 'staat', 'overheid', 'stand', 'Staat', 'toestand', 'land', 'situatie', 'kunstkunst', 'werk', 'kunstwerk', 'kunst'}	that said " This is a state of the art, official facility "
from scratch	scratch	{'krasje', 'kras', 'krrammetje', 'schram', 'scratch', 'rammetje', 'schrammetje', 'krabben'}	that said " We are cooking from scratch every day "
take stock	stock	{'voorraadbestand', 'aandelen', 'bestand', 'stock', 'aandelenbestand', 'aandeel', 'voorraad'}	that said " Take stock of the lessons to be drawn "
across the board	board	{'board', 'raad', 'plank', 'directie', 'bestuur', 'bord'}	that said " I got red lights all across the board "
in the final analysis	analysis	{'onderzoek', 'analyse', 'analyses', 'analyseren'}	that said " In the final analysis, this is what matters "
out of the blue	blue	{'kleurenblauw', 'blauw', 'blauwe', 'kleur', 'kleurblauwe', 'kleurblauw'}	that said " It just came out of the blue "
in tandem	tandem	{'tandem'}	that said " We will work with them in tandem "
by heart	heart	{'hart', 'hartje'}	that said " I knew the formula by heart "
come to terms with	terms	{'bepalingen', 'termen', 'voorwaarden', 'begrippen', 'regels'}	that said " I have come to terms with my evil past "
by the same token	token	{'teken', 'vertrouwen', 'token', 'symbool', 'aandenken', 'blijk'}	that said " By the same token I will oppose what is evil "
look the other way	way	{'onderweg', 'weg', 'kant'}	that said " We cannot look the other way either "
at your fingertips	fingertips	{'vingers', 'vingertips', 'vingertoppen', 'vingertop', 'fingertips', 'vingerafdrukken'}	that said " The answer is right at your fingertips "
follow suit	suit	 {'kostuum', 'pak', 'pakje'}	that said " And many others follow suit "
keep tabs on	tabs	{'tabletjes', 'tabs', 'tabbladen'}	that said " I keep tabs on you "
in the short run	run	{'vluchtuitvoering', 'eindje', 'vluchtje', 'loopje', 'vlucht', 'vluchten', 'vluchtvlucht', 'run', 'race', 'rennen', 'ren', 'aanloop', 'vluchtmisdrijf'}	that said " In the short run it clearly must be "
by dint of	dint	{'deint', 'stomp', 'duintje', 'dint', 'Dint', 'duint'}	that said " We are part of it by dint of our commitment "
set eyes on	eyes	{'oogjes', 'ogen'}	that said " I wish I had never set eyes on him "
