en_plural	en_singular	nl_plural	nl_singular
the athletes	the athlete	de atleten	de atleet
the boys	the boy	de jongens	de jongen
the doctors	the doctor	de dokters	de dokter
the farmers	the farmer	de boeren	de boer
the fathers	the father	de vaders	de vader
the friends	the friend	de vrienden	de vriend
the girls	the girl	de meisjes	het meisje
the children	the child	de kinderen	het kind
the lawyers	the lawyer	de advocaten	de advocaat
the men	the man	de mannen	de man
the mothers	the mother	de moeders	de moeder
the poets	the poet	de dichters	de dichter
the teachers	the teacher	de leraren	de leraar
the victims	the victim	de slachtoffers	het slachtoffer
the women	the woman	de vrouwen	de vrouw
the butchers	the butcher	de slagers	de slager
the bakers	the baker	de bakkers	de bakker
the uncles	the uncle	de ooms	de oom
the aunts	the aunt	de tantes	de tante
the painters	the painter	de schilders	de schilder
